"","filename","genre"
"1","102257.jpg","abstract"
"2","75232.jpg","abstract"
"3","62252.jpg","abstract"
"4","63861.jpg","abstract"
"5","70944.jpg","landscape"
"6","59792.jpg","religious painting"
"7","48138.jpg","landscape"
"8","82352.jpg","religious painting"
"9","85864.jpg","abstract"
"10","59145.jpg","abstract"
"11","16876.jpg","religious painting"
"12","48177.jpg","still life"
"13","7486.jpg","religious painting"
"14","35766.jpg","religious painting"
"15","28363.jpg","still life"
"16","62982.jpg","religious painting"
"17","1164.jpg","landscape"
"18","57581.jpg","religious painting"
"19","65895.jpg","portrait"
"20","53464.jpg","portrait"
"21","47203.jpg","religious painting"
"22","73319.jpg","abstract"
"23","75586.jpg","abstract"
"24","49350.jpg","abstract"
"25","99460.jpg","portrait"
"26","5194.jpg","portrait"
"27","55537.jpg","religious painting"
"28","840.jpg","portrait"
"29","13689.jpg","religious painting"
"30","95721.jpg","portrait"
"31","55036.jpg","portrait"
"32","820.jpg","portrait"
"33","40672.jpg","portrait"
"34","45276.jpg","portrait"
"35","88434.jpg","portrait"
"36","32343.jpg","religious painting"
"37","20509.jpg","landscape"
"38","71952.jpg","landscape"
"39","41539.jpg","portrait"
"40","100829.jpg","portrait"
"41","49147.jpg","abstract"
"42","70873.jpg","portrait"
"43","92409.jpg","portrait"
"44","51728.jpg","landscape"
"45","16019.jpg","landscape"
"46","79131.jpg","portrait"
"47","83376.jpg","portrait"
"48","26862.jpg","portrait"
"49","53800.jpg","portrait"
"50","48930.jpg","landscape"
"51","11057.jpg","landscape"
"52","89941.jpg","landscape"
"53","66723.jpg","still life"
"54","57436.jpg","abstract"
"55","60678.jpg","landscape"
"56","10805.jpg","landscape"
"57","87438.jpg","landscape"
"58","13495.jpg","landscape"
"59","88945.jpg","portrait"
"60","98644.jpg","landscape"
"61","20153.jpg","portrait"
"62","62037.jpg","abstract"
"63","70079.jpg","religious painting"
"64","60983.jpg","portrait"
"65","13674.jpg","portrait"
"66","22404.jpg","portrait"
"67","9549.jpg","portrait"
"68","72442.jpg","landscape"
"69","41164.jpg","portrait"
"70","53039.jpg","landscape"
"71","11837.jpg","landscape"
"72","80474.jpg","still life"
"73","83723.jpg","abstract"
"74","89307.jpg","landscape"
"75","76474.jpg","portrait"
"76","87495.jpg","portrait"
"77","32754.jpg","portrait"
"78","100182.jpg","landscape"
"79","80673.jpg","landscape"
"80","49757.jpg","landscape"
"81","18100.jpg","landscape"
"82","45523.jpg","landscape"
"83","17680.jpg","portrait"
"84","45969.jpg","landscape"
"85","34412.jpg","landscape"
"86","47501.jpg","landscape"
"87","97803.jpg","landscape"
"88","83267.jpg","landscape"
"89","16091.jpg","religious painting"
"90","1211.jpg","landscape"
"91","43030.jpg","landscape"
"92","56560.jpg","religious painting"
"93","78338.jpg","religious painting"
"94","40197.jpg","portrait"
"95","99889.jpg","portrait"
"96","1589.jpg","landscape"
"97","28282.jpg","landscape"
"98","34382.jpg","portrait"
"99","20616.jpg","landscape"
"100","12262.jpg","landscape"
"101","61194.jpg","portrait"
"102","86917.jpg","portrait"
"103","5303.jpg","portrait"
"104","50480.jpg","portrait"
"105","6586.jpg","landscape"
"106","45541.jpg","portrait"
"107","17903.jpg","religious painting"
"108","39644.jpg","landscape"
"109","101078.jpg","landscape"
"110","100951.jpg","portrait"
"111","41316.jpg","portrait"
"112","47592.jpg","portrait"
"113","92019.jpg","landscape"
"114","81912.jpg","landscape"
"115","18436.jpg","portrait"
"116","6977.jpg","landscape"
"117","102671.jpg","religious painting"
"118","5145.jpg","religious painting"
"119","25137.jpg","portrait"
"120","46012.jpg","landscape"
"121","27781.jpg","religious painting"
"122","12455.jpg","landscape"
"123","31655.jpg","portrait"
"124","65887.jpg","portrait"
"125","73147.jpg","portrait"
"126","7700.jpg","religious painting"
"127","30376.jpg","religious painting"
"128","1089.jpg","religious painting"
