"","filename","artist"
"1","102257.jpg","Barnett Newman"
"2","75232.jpg","Barnett Newman"
"3","32145.jpg","kiri nichol"
"4","20304.jpg","kiri nichol"
"5","836.jpg","kiri nichol"
"6","29855.jpg","Tosa Mitsuoki"
"7","62252.jpg","Barnett Newman"
"8","49823.jpg","Hiroshige"
"9","63861.jpg","Barnett Newman"
"10","84512.jpg","Franz Richard Unterberger"
"11","53180.jpg","Hiroshige"
"12","70944.jpg","Wolfgang Paalen"
"13","59792.jpg","Mabuse"
"14","48138.jpg","Utagawa Kunisada"
"15","99442.jpg","Ivan Aivazovsky"
"16","32996.jpg","Paul Serusier"
"17","77203.jpg","Hiroshige"
"18","23508.jpg","Hiroshige"
"19","82352.jpg","Hieronymus Bosch"
"20","27254.jpg","Hiroshige"
"21","85864.jpg","Mark Rothko"
"22","47145.jpg","Hiroshige"
"23","59145.jpg","Barnett Newman"
"24","16876.jpg","Jan van Eyck"
"25","28908.jpg","Julius LeBlanc Stewart"
"26","75956.jpg","Jan Matejko"
"27","48177.jpg","Ferdinand Georg Waldmüller"
"28","24465.jpg","Konstantin Vasilyev"
"29","7486.jpg","Gustave Dore"
"30","35766.jpg","Gustave Dore"
"31","28363.jpg","Clara Peeters"
"32","71024.jpg","Hiroshige"
"33","70728.jpg","Diego Velazquez"
"34","62982.jpg","Matthias Stom"
"35","31977.jpg","Gustave Dore"
"36","2984.jpg","Jean Fouquet"
"37","71435.jpg","Lyonel Feininger"
"38","15715.jpg","Titian"
"39","59486.jpg","Gerrit Dou"
"40","77921.jpg","Lucas Cranach the Elder"
"41","63416.jpg","Lyonel Feininger"
"42","39751.jpg","Georges Seurat"
"43","1164.jpg","Thomas Gainsborough"
"44","4147.jpg","Lyonel Feininger"
"45","4235.jpg","Konstantin Vasilyev"
"46","57581.jpg","Michelangelo"
"47","19385.jpg","Lyonel Feininger"
"48","80897.jpg","Auguste Herbin"
"49","65895.jpg","Jan van Eyck"
"50","99733.jpg","Utagawa Kuniyoshi"
"51","73690.jpg","Utagawa Kuniyoshi"
"52","93715.jpg","Utagawa Kuniyoshi"
"53","47170.jpg","Utagawa Kuniyoshi"
"54","100979.jpg","Utagawa Kuniyoshi"
"55","29331.jpg","Odilon Redon"
"56","53464.jpg","Konstantin Vasilyev"
"57","42278.jpg","Mario Tozzi"
"58","52582.jpg","kiri nichol"
"59","98290.jpg","kiri nichol"
"60","22455.jpg","kiri nichol"
"61","47203.jpg","Sandro Botticelli"
"62","60002.jpg","alex colville"
"63","73319.jpg","Barnett Newman"
"64","75586.jpg","First Station"
"65","49350.jpg","Fourth Station"
"66","74221.jpg","Paul Signac"
"67","56906.jpg","William Turner"
"68","90044.jpg","Joseph Wright"
"69","48590.jpg","Claude Lorrain"
"70","31337.jpg","Georges Seurat"
"71","7071.jpg","Johannes Vermeer"
"72","60585.jpg","Claude Lorrain"
"73","99460.jpg","Mario Tozzi"
"74","5194.jpg","Lorenzo Lotto"
"75","17354.jpg","Henri de Toulouse-Lautrec"
"76","41541.jpg","Konstantin Somov"
"77","55537.jpg","Giovanni Bellini"
"78","45704.jpg","William Hogarth"
"79","633.jpg","Thomas Eakins"
"80","840.jpg","Paolo Veronese"
"81","50097.jpg","Pieter Bruegel the Elder"
"82","9011.jpg","Mario Tozzi"
"83","81750.jpg","Ivan Aivazovsky"
"84","13689.jpg","El Greco"
"85","71560.jpg","Carlos Saenz de Tejada"
"86","42784.jpg","Carlos Saenz de Tejada"
"87","5569.jpg","Carlos Saenz de Tejada"
"88","59919.jpg","Carlos Saenz de Tejada"
"89","54395.jpg","Carlos Saenz de Tejada"
"90","10709.jpg","Carlos Saenz de Tejada"
"91","31234.jpg","August Macke"
"92","97081.jpg","Carlos Saenz de Tejada"
"93","24597.jpg","Carlos Saenz de Tejada"
"94","73181.jpg","Carlos Saenz de Tejada"
"95","45778.jpg","Carlos Saenz de Tejada"
"96","4123.jpg","Mario Tozzi"
"97","29616.jpg","Gustave Caillebotte"
"98","96174.jpg","Ferdinand Hodler"
"99","36382.jpg","Konstantin Vasilyev"
"100","19784.jpg","Konstantin Vasilyev"
"101","16601.jpg","Konstantin Vasilyev"
"102","95721.jpg","Franz Stuck"
"103","57090.jpg","Edouard Vuillard"
"104","78931.jpg","Mario Tozzi"
"105","55036.jpg","Konstantin Vasilyev"
"106","38535.jpg","Mario Tozzi"
"107","15896.jpg","Konstantin Vasilyev"
"108","13595.jpg","Koloman Moser"
"109","820.jpg","Lorenzo Lotto"
"110","43517.jpg","Nicolas Poussin"
"111","19834.jpg","William-Adolphe Bouguereau"
"112","27067.jpg","William-Adolphe Bouguereau"
"113","40672.jpg","Rembrandt"
"114","92287.jpg","Judith Leyster"
"115","45276.jpg","Thomas Eakins"
"116","75895.jpg","Ferdinand Hodler"
"117","21113.jpg","Koloman Moser"
"118","88434.jpg","Ferdinand Hodler"
"119","80938.jpg","Ferdinand Hodler"
"120","26065.jpg","Titian"
"121","65341.jpg","Ernst Ludwig Kirchner"
"122","16042.jpg","Konstantin Vasilyev"
"123","32343.jpg","Mario Tozzi"
"124","70002.jpg","Mario Tozzi"
"125","75802.jpg","Ferdinand Georg Waldmüller"
"126","216.jpg","Hiroshige"
"127","51415.jpg","Koloman Moser"
"128","91879.jpg","Joshua Reynolds"
"129","32829.jpg","Utagawa Kunisada II"
"130","15569.jpg","Koloman Moser"
"131","20509.jpg","Ferdinand Hodler"
"132","3306.jpg","Tosa Mitsuoki"
"133","38383.jpg","Theo van Rysselberghe"
"134","49864.jpg","Heinrich Schonfeld"
"135","1127.jpg","Johannes Vermeer"
"136","93795.jpg","Konstantin Vasilyev"
"137","71952.jpg","Rudolf von Alt"
"138","7020.jpg","Rudolf von Alt"
"139","23209.jpg","Ferdinand Hodler"
"140","41539.jpg","Adriaen van de Velde"
"141","29461.jpg","Victor Borisov-Musatov"
"142","100478.jpg","Koloman Moser"
"143","100829.jpg","Ferdinand Hodler"
"144","49147.jpg","Barnett Newman"
"145","70873.jpg","William Merritt Chase"
"146","92409.jpg","Koloman Moser"
"147","51728.jpg","Ernst Ludwig Kirchner"
"148","95360.jpg","Edgar Degas"
"149","68866.jpg","Johannes Vermeer"
"150","16019.jpg","Ferdinand Hodler"
"151","79131.jpg","Ferdinand Hodler"
"152","83376.jpg","Konstantin Vasilyev"
"153","61952.jpg","Koloman Moser"
"154","26862.jpg","Kazimir Malevich"
"155","99839.jpg","Ferdinand Hodler"
"156","53800.jpg","Ferdinand Hodler"
"157","98066.jpg","Suzanne Valadon"
"158","48930.jpg","Ferdinand Hodler"
"159","72005.jpg","Mario Tozzi"
"160","11057.jpg","Koloman Moser"
"161","18627.jpg","Felicien Rops"
"162","102176.jpg","Hiroshige"
"163","1028.jpg","Konstantin Vasilyev"
"164","89941.jpg","Ferdinand Hodler"
"165","26741.jpg","Koloman Moser"
"166","82971.jpg","Ernst Ludwig Kirchner"
"167","33542.jpg","Mario Tozzi"
