"","filename","genre"
"1","102257.jpg","abstract"
"2","75232.jpg","abstract"
"3","32145.jpg",""
"4","20304.jpg",""
"5","836.jpg",""
"6","29855.jpg","mythological painting"
"7","62252.jpg","abstract"
"8","49823.jpg","bird-and-flower painting"
"9","63861.jpg","abstract"
"10","84512.jpg","cityscape"
"11","53180.jpg","bird-and-flower painting"
"12","70944.jpg","landscape"
"13","59792.jpg","religious painting"
"14","48138.jpg","landscape"
"15","99442.jpg","marina"
"16","32996.jpg","genre painting"
"17","77203.jpg","bird-and-flower painting"
"18","23508.jpg","bird-and-flower painting"
"19","82352.jpg","religious painting"
"20","27254.jpg","bird-and-flower painting"
"21","85864.jpg","abstract"
"22","47145.jpg","bird-and-flower painting"
"23","59145.jpg","abstract"
"24","16876.jpg","religious painting"
"25","28908.jpg","genre painting"
"26","75956.jpg","history painting"
"27","48177.jpg","still life"
"28","24465.jpg","genre painting"
"29","7486.jpg","religious painting"
"30","35766.jpg","religious painting"
"31","28363.jpg","still life"
"32","71024.jpg","animal painting"
"33","70728.jpg","self-portrait"
"34","62982.jpg","religious painting"
"35","31977.jpg","illustration"
"36","2984.jpg","history painting"
"37","71435.jpg","cityscape"
"38","15715.jpg","self-portrait"
"39","59486.jpg","self-portrait"
"40","77921.jpg","allegorical painting"
"41","63416.jpg","cityscape"
"42","39751.jpg",""
"43","1164.jpg","landscape"
"44","4147.jpg","cityscape"
"45","4235.jpg","literary painting"
"46","57581.jpg","religious painting"
"47","19385.jpg","cityscape"
"48","80897.jpg","flower painting"
"49","65895.jpg","portrait"
"50","99733.jpg","illustration"
"51","73690.jpg","illustration"
"52","93715.jpg","illustration"
"53","47170.jpg","illustration"
"54","100979.jpg","illustration"
"55","29331.jpg","literary painting"
"56","53464.jpg","portrait"
"57","42278.jpg","figurative"
"58","52582.jpg",""
"59","98290.jpg",""
"60","22455.jpg",""
"61","47203.jpg","religious painting"
"62","60002.jpg",""
"63","73319.jpg","abstract"
"64","75586.jpg","abstract"
"65","49350.jpg","abstract"
"66","74221.jpg","cityscape"
"67","56906.jpg","marina"
"68","90044.jpg","genre painting"
"69","48590.jpg","mythological painting"
"70","31337.jpg","genre painting"
"71","7071.jpg","genre painting"
"72","60585.jpg","cityscape"
"73","99460.jpg","portrait"
"74","5194.jpg","portrait"
"75","17354.jpg","genre painting"
"76","41541.jpg","interior"
"77","55537.jpg","religious painting"
"78","45704.jpg","self-portrait"
"79","633.jpg","nude painting (nu)"
"80","840.jpg","portrait"
"81","50097.jpg","allegorical painting"
"82","9011.jpg","figurative"
"83","81750.jpg","marina"
"84","13689.jpg","religious painting"
"85","71560.jpg","history painting"
"86","42784.jpg","history painting"
"87","5569.jpg","history painting"
"88","59919.jpg","history painting"
"89","54395.jpg","history painting"
"90","10709.jpg","history painting"
"91","31234.jpg","genre painting"
"92","97081.jpg","history painting"
"93","24597.jpg","history painting"
"94","73181.jpg","history painting"
"95","45778.jpg","history painting"
"96","4123.jpg","self-portrait"
"97","29616.jpg","genre painting"
"98","96174.jpg","genre painting"
"99","36382.jpg","mythological painting"
"100","19784.jpg","mythological painting"
"101","16601.jpg","mythological painting"
"102","95721.jpg","portrait"
"103","57090.jpg","genre painting"
"104","78931.jpg","nude painting (nu)"
"105","55036.jpg","portrait"
"106","38535.jpg","figurative"
"107","15896.jpg","mythological painting"
"108","13595.jpg","self-portrait"
"109","820.jpg","portrait"
"110","43517.jpg","mythological painting"
"111","19834.jpg","genre painting"
"112","27067.jpg","allegorical painting"
"113","40672.jpg","portrait"
"114","92287.jpg","flower painting"
"115","45276.jpg","portrait"
"116","75895.jpg","self-portrait"
"117","21113.jpg","illustration"
"118","88434.jpg","portrait"
"119","80938.jpg","genre painting"
"120","26065.jpg","mythological painting"
"121","65341.jpg","poster"
"122","16042.jpg","mythological painting"
"123","32343.jpg","religious painting"
