"","filename","style"
"1","102257.jpg","Color Field Painting"
"2","75232.jpg","Color Field Painting"
"3","32145.jpg","Neoplasticism"
"4","20304.jpg","Neoplasticism"
"5","836.jpg","Neoplasticism"
"6","29855.jpg","Yamato-e"
"7","62252.jpg","Color Field Painting"
"8","49823.jpg","Ukiyo-e"
"9","63861.jpg","Color Field Painting"
"10","84512.jpg","Romanticism"
"11","53180.jpg","Ukiyo-e"
"12","70944.jpg","Surrealism"
"13","59792.jpg","Northern Renaissance"
"14","48138.jpg","Ukiyo-e"
"15","99442.jpg","Romanticism"
"16","32996.jpg","Cloisonnism"
"17","77203.jpg","Ukiyo-e"
"18","23508.jpg","Ukiyo-e"
"19","82352.jpg","Northern Renaissance"
"20","27254.jpg","Ukiyo-e"
"21","85864.jpg","Abstract Art"
"22","47145.jpg","Ukiyo-e"
"23","59145.jpg","Color Field Painting"
"24","16876.jpg","Northern Renaissance"
"25","28908.jpg","Realism"
"26","75956.jpg","Romanticism"
"27","48177.jpg","Biedermeier"
"28","24465.jpg","Symbolism"
"29","7486.jpg","Romanticism"
"30","35766.jpg","Romanticism"
"31","28363.jpg","Baroque"
"32","71024.jpg","Ukiyo-e"
"33","70728.jpg","Baroque"
"34","62982.jpg","Tenebrism"
"35","31977.jpg","Romanticism"
"36","2984.jpg","Northern Renaissance"
"37","71435.jpg","Cubism"
"38","15715.jpg","Mannerism (Late Renaissance)"
"39","59486.jpg","Baroque"
"40","77921.jpg","Northern Renaissance"
"41","63416.jpg","Cubism"
"42","39751.jpg","Pointillism"
"43","1164.jpg","Rococo"
"44","4147.jpg","Cubism"
"45","4235.jpg","Symbolism"
"46","57581.jpg","High Renaissance"
"47","19385.jpg","Cubism"
"48","80897.jpg","Fauvism"
"49","65895.jpg","Northern Renaissance"
"50","99733.jpg","Ukiyo-e"
"51","73690.jpg","Ukiyo-e"
"52","93715.jpg","Ukiyo-e"
"53","47170.jpg","Ukiyo-e"
"54","100979.jpg","Ukiyo-e"
"55","29331.jpg","Symbolism"
"56","53464.jpg","Symbolism"
"57","42278.jpg",""
"58","52582.jpg","Neoplasticism"
"59","98290.jpg","Neoplasticism"
"60","22455.jpg","Neoplasticism"
"61","47203.jpg","Early Renaissance"
"62","60002.jpg","Magic Realism"
"63","73319.jpg","Color Field Painting"
"64","75586.jpg","Color Field Painting"
"65","49350.jpg","Color Field Painting"
"66","74221.jpg","Pointillism"
"67","56906.jpg","Romanticism"
"68","90044.jpg","Baroque"
"69","48590.jpg","Classicism"
"70","31337.jpg","Pointillism"
"71","7071.jpg","Baroque"
"72","60585.jpg","Classicism"
"73","99460.jpg",""
"74","5194.jpg","High Renaissance"
"75","17354.jpg","Post-Impressionism"
