model,epoch,phase,epock_loss,epoch_acc
finetune,0,train,1.030108311,0.627222222
finetune,0,test,0.535446871,0.802291667
finetune,1,train,0.841307653,0.696527778
finetune,1,test,0.647842516,0.752916667
finetune,2,train,0.786728493,0.720277778
finetune,2,test,0.544086602,0.802916667
finetune,3,train,0.765152558,0.726111111
finetune,3,test,0.558534454,0.81375
finetune,4,train,0.703278435,0.750416667
finetune,4,test,0.442346651,0.835
finetune,5,train,0.667063356,0.763472222
finetune,5,test,0.412232377,0.849166667
finetune,6,train,0.632695126,0.775694444
finetune,6,test,0.49852742,0.827916667
finetune,7,train,0.497411146,0.824027778
finetune,7,test,0.438825009,0.842916667
finetune,8,train,0.463219736,0.830694444
finetune,8,test,0.358413384,0.875416667
finetune,9,train,0.448015701,0.841111111
finetune,9,test,0.371424512,0.8675
finetune,10,train,0.453734609,0.838472222
finetune,10,test,0.349559139,0.87625
finetune,11,train,0.44094019,0.844305556
finetune,11,test,0.346929192,0.874375
finetune,12,train,0.421717728,0.849027778
finetune,12,test,0.342231882,0.881458333
finetune,13,train,0.429592744,0.84875
finetune,13,test,0.34030868,0.879375
finetune,14,train,0.40388975,0.860694444
finetune,14,test,0.343801343,0.878333333
finetune,15,train,0.415516125,0.855
finetune,15,test,0.371343382,0.872916667
finetune,16,train,0.410519068,0.856527778
finetune,16,test,0.328633179,0.886458333
finetune,17,train,0.411560254,0.854444444
finetune,17,test,0.339806952,0.878125
finetune,18,train,0.40171047,0.856527778
finetune,18,test,0.32706963,0.882708333
finetune,19,train,0.407545411,0.858055556
finetune,19,test,0.346030076,0.878333333
finetune,20,train,0.405293317,0.8575
finetune,20,test,0.328817462,0.882708333
finetune,21,train,0.397532789,0.862916667
finetune,21,test,0.335905872,0.88125
finetune,22,train,0.401393116,0.856666667
finetune,22,test,0.359638967,0.872916667
finetune,23,train,0.406834453,0.856111111
finetune,23,test,0.347340529,0.876666667
finetune,24,train,0.389843957,0.865138889
finetune,24,test,0.346563037,0.8775
finetune,25,train,0.393917799,0.863194444
finetune,25,test,0.357848956,0.870833333
finetune,26,train,0.386502034,0.865972222
finetune,26,test,0.361698513,0.8725
finetune,27,train,0.410742127,0.853888889
finetune,27,test,0.323115318,0.886666667
finetune,28,train,0.399810105,0.857777778
finetune,28,test,0.338287386,0.879583333
finetune,29,train,0.396677856,0.857916667
finetune,29,test,0.347556959,0.875625
finetune,30,train,0.404800289,0.857222222
finetune,30,test,0.340539623,0.878333333
finetune,31,train,0.384837399,0.859861111
finetune,31,test,0.359731126,0.876666667
finetune,32,train,0.413594839,0.856527778
finetune,32,test,0.351852544,0.873541667
finetune,33,train,0.399979409,0.85625
finetune,33,test,0.336926327,0.882083333
