model,epoch,phase,epock_loss,epoch_acc
finetune,0,train,1.1482255674898625,0.525
finetune,0,test,0.7246273193508387,0.7375
finetune,1,train,0.9361279567082723,0.6458333333333334
finetune,1,test,0.8065848924219609,0.715625
finetune,2,train,0.9477776532371839,0.6708333333333333
finetune,2,test,0.6767784498631955,0.775
finetune,3,train,0.9679015730818112,0.6541666666666667
finetune,3,test,0.8122348912060261,0.7625
finetune,4,train,0.8631553292274475,0.6833333333333333
finetune,4,test,0.6257716432213783,0.796875
finetune,5,train,0.8454994810124238,0.6833333333333333
finetune,5,test,0.724239356443286,0.8
finetune,6,train,0.8461898951480786,0.7020833333333333
finetune,6,test,0.9947161510586738,0.69375
finetune,7,train,0.6300546849767367,0.7708333333333334
finetune,7,test,0.5879166468977928,0.790625
finetune,8,train,0.566970199594895,0.8083333333333333
finetune,8,test,0.553510532528162,0.809375
finetune,9,train,0.5613069529334704,0.7854166666666667
finetune,9,test,0.5172258341684938,0.81875
finetune,10,train,0.5537016379336516,0.7958333333333333
finetune,10,test,0.5338291030377149,0.809375
finetune,11,train,0.5316484183073044,0.79375
finetune,11,test,0.4988661132752895,0.825
finetune,12,train,0.4792218112697204,0.8354166666666667
finetune,12,test,0.48094799611717465,0.8375
finetune,13,train,0.5143866104384264,0.8
finetune,13,test,0.46137401424348357,0.834375
finetune,14,train,0.4553981137772401,0.8291666666666667
finetune,14,test,0.46403097212314603,0.840625
finetune,15,train,0.41985903183619183,0.85625
finetune,15,test,0.4736595006659627,0.83125
finetune,16,train,0.4551353311787049,0.8354166666666667
finetune,16,test,0.49782243371009827,0.83125
finetune,17,train,0.4684255999823411,0.8270833333333333
finetune,17,test,0.45454781837761404,0.828125
finetune,18,train,0.4949286123116811,0.825
finetune,18,test,0.4694513838738203,0.83125
finetune,19,train,0.42013863772153853,0.8479166666666667
finetune,19,test,0.46969905197620393,0.8375
finetune,20,train,0.5097588342924912,0.8375
finetune,20,test,0.46169389225542545,0.83125
finetune,21,train,0.5200602043420076,0.8145833333333333
finetune,21,test,0.4497191492468119,0.834375
finetune,22,train,0.49834426467617354,0.8229166666666666
finetune,22,test,0.48925941046327354,0.821875
finetune,23,train,0.45010380434493225,0.8458333333333333
finetune,23,test,0.4620342254638672,0.8375
finetune,24,train,0.5208421021699905,0.8145833333333333
finetune,24,test,0.45230712462216616,0.840625
finetune,25,train,0.4419712575773398,0.8375
finetune,25,test,0.46889868304133414,0.834375
finetune,26,train,0.43414607346057893,0.8604166666666667
finetune,26,test,0.4779173109680414,0.821875
finetune,27,train,0.45136449709534643,0.8395833333333333
finetune,27,test,0.4587552651762962,0.825
finetune,28,train,0.4717903185635805,0.8333333333333334
finetune,28,test,0.4712226761505008,0.83125
finetune,29,train,0.46013794764876365,0.8479166666666667
finetune,29,test,0.466557247005403,0.828125
finetune,30,train,0.47116452890137833,0.8333333333333334
finetune,30,test,0.4649185111746192,0.834375
finetune,31,train,0.43489735859135786,0.85
finetune,31,test,0.4552133049815893,0.84375
finetune,32,train,0.4866667253275712,0.8270833333333333
finetune,32,test,0.46192937176674603,0.840625
finetune,33,train,0.46956937946379185,0.85625
finetune,33,test,0.4659689117223024,0.83125
finetune,34,train,0.48198470200101534,0.8333333333333334
finetune,34,test,0.4774034140631557,0.825
finetune,35,train,0.4368421087662379,0.8333333333333334
finetune,35,test,0.4526067877188325,0.846875
finetune,36,train,0.455529539907972,0.84375
finetune,36,test,0.46443652659654616,0.834375
finetune,37,train,0.41711363196372986,0.8479166666666667
finetune,37,test,0.48054321594536303,0.821875
finetune,38,train,0.4712103196730216,0.8333333333333334
finetune,38,test,0.47596684359014035,0.828125
finetune,39,train,0.5058517736693223,0.7916666666666666
finetune,39,test,0.4774953430518508,0.8375
finetune,40,train,0.48948334356149037,0.825
finetune,40,test,0.46178624480962754,0.84375
finetune,41,train,0.5187840768446524,0.8291666666666667
finetune,41,test,0.4889979392290115,0.834375
finetune,42,train,0.42060238122940063,0.8625
finetune,42,test,0.46479098275303843,0.840625
finetune,43,train,0.41710842611889043,0.8520833333333333
finetune,43,test,0.48324864376336335,0.834375
finetune,44,train,0.39640565489729246,0.85
finetune,44,test,0.45800651125609876,0.8375
finetune,45,train,0.46995498711864153,0.8333333333333334
finetune,45,test,0.4720444805920124,0.8375
finetune,46,train,0.4185743150611719,0.8541666666666666
