model,epoch,phase,epoch_loss,epoch_acc
finetune,0,train,1.413858938,0.518691589
finetune,0,test,1.096389023,0.673024523
finetune,1,train,1.162288014,0.622533749
finetune,1,test,0.73838123,0.753405995
finetune,2,train,0.89856418,0.707165109
finetune,2,test,0.869169562,0.749318801
finetune,3,train,0.768759893,0.747144341
finetune,3,test,0.91485742,0.71253406
finetune,4,train,0.687007879,0.787642783
finetune,4,test,1.026690234,0.72479564
finetune,5,train,0.56502425,0.829698858
finetune,5,test,0.61851104,0.809264305
finetune,6,train,0.456632794,0.841121495
finetune,6,test,0.848248358,0.771117166
finetune,7,train,0.329516768,0.898234683
finetune,7,test,0.525471354,0.837874659
finetune,8,train,0.237045038,0.918483904
finetune,8,test,0.548412652,0.848773842
finetune,9,train,0.222050834,0.931983385
finetune,9,test,0.489529877,0.859673025
finetune,10,train,0.17756065,0.943406023
finetune,10,test,0.463815715,0.869209809
finetune,11,train,0.157030815,0.957424714
finetune,11,test,0.501761086,0.852861035
finetune,12,train,0.14955438,0.953790239
finetune,12,test,0.488664542,0.859673025
finetune,13,train,0.12716961,0.966251298
finetune,13,test,0.475595586,0.856948229
finetune,14,train,0.126719383,0.965732087
finetune,14,test,0.477860047,0.858310627
finetune,15,train,0.133971653,0.960539979
finetune,15,test,0.457365504,0.858310627
finetune,16,train,0.1419769,0.960020768
finetune,16,test,0.507213499,0.854223433
finetune,17,train,0.145090811,0.958463136
finetune,17,test,0.510850716,0.859673025
finetune,18,train,0.145997646,0.956386293
finetune,18,test,0.484087441,0.865122616
finetune,19,train,0.138562173,0.960020768
finetune,19,test,0.482030972,0.854223433
finetune,20,train,0.159865628,0.949117342
finetune,20,test,0.529413425,0.847411444
finetune,21,train,0.129794439,0.963136033
finetune,21,test,0.483209683,0.855585831
finetune,22,train,0.133684482,0.962097612
finetune,22,test,0.453944971,0.861035422
finetune,23,train,0.138462762,0.963655244
finetune,23,test,0.464488066,0.863760218
finetune,24,train,0.13411607,0.962616822
finetune,24,test,0.464787041,0.863760218
feature_extract,0,train,1.53764582,0.451194185
feature_extract,0,test,1.051614895,0.670299728
feature_extract,1,train,1.182294869,0.587746625
feature_extract,1,test,0.826337621,0.720708447
feature_extract,2,train,1.072783667,0.641225337
feature_extract,2,test,0.769331593,0.741144414
feature_extract,3,train,1.06553834,0.634475597
feature_extract,3,test,0.746711754,0.762942779
feature_extract,4,train,0.996174069,0.663551402
feature_extract,4,test,0.730601391,0.758855586
feature_extract,5,train,0.956633435,0.680166147
feature_extract,5,test,0.775600336,0.728882834
feature_extract,6,train,1.02135206,0.663551402
feature_extract,6,test,0.676048758,0.769754768
feature_extract,7,train,0.809623092,0.726895119
feature_extract,7,test,0.661432967,0.782016349
feature_extract,8,train,0.803208564,0.727933541
feature_extract,8,test,0.663837328,0.780653951
feature_extract,9,train,0.794459677,0.720145379
feature_extract,9,test,0.667662248,0.777929155
feature_extract,10,train,0.796601944,0.732606438
feature_extract,10,test,0.675390513,0.780653951
feature_extract,11,train,0.811430106,0.719626168
feature_extract,11,test,0.63150949,0.786103542
feature_extract,12,train,0.791625626,0.731568017
feature_extract,12,test,0.666596957,0.777929155
feature_extract,13,train,0.771298183,0.743509865
feature_extract,13,test,0.655724356,0.783378747
feature_extract,14,train,0.763510283,0.747663551
feature_extract,14,test,0.631936739,0.784741144
feature_extract,15,train,0.803225634,0.728452752
feature_extract,15,test,0.665851407,0.779291553
feature_extract,16,train,0.776974218,0.726375909
feature_extract,16,test,0.652795986,0.773841962
feature_extract,17,train,0.781281512,0.737279335
feature_extract,17,test,0.621455364,0.788828338
feature_extract,18,train,0.794268397,0.723779855
feature_extract,18,test,0.629196375,0.78746594
feature_extract,19,train,0.759538453,0.741952233
feature_extract,19,test,0.629732449,0.794277929
feature_extract,20,train,0.791570573,0.7403946
feature_extract,20,test,0.649115665,0.782016349
feature_extract,21,train,0.763190724,0.745586708
feature_extract,21,test,0.617765952,0.79972752
feature_extract,22,train,0.788251789,0.725337487
feature_extract,22,test,0.644441036,0.788828338
feature_extract,23,train,0.788490438,0.726375909
feature_extract,23,test,0.655701533,0.78746594
feature_extract,24,train,0.782439207,0.7403946
feature_extract,24,test,0.653311767,0.791553134
finetune_50,0,train,1.456799375,0.507268951
finetune_50,0,test,1.02892788,0.690735695
finetune_50,1,train,1.111037771,0.641744548
finetune_50,1,test,0.82540463,0.745231608
finetune_50,2,train,0.905230013,0.701973001
finetune_50,2,test,0.924973422,0.717983651
finetune_50,3,train,0.766118607,0.760124611
finetune_50,3,test,0.938146846,0.749318801
finetune_50,4,train,0.662757805,0.788681205
finetune_50,4,test,0.701509483,0.797002725
finetune_50,5,train,0.631901234,0.791796469
finetune_50,5,test,0.799634441,0.790190736
finetune_50,6,train,0.538727319,0.83125649
finetune_50,6,test,0.687526046,0.801089918
finetune_50,7,train,0.290080234,0.912253375
finetune_50,7,test,0.478125415,0.86239782
finetune_50,8,train,0.232124181,0.939252336
finetune_50,8,test,0.455124304,0.865122616
finetune_50,9,train,0.179641675,0.951194185
finetune_50,9,test,0.514137022,0.852861035
finetune_50,10,train,0.164010434,0.953271028
finetune_50,10,test,0.435889579,0.877384196
finetune_50,11,train,0.144323094,0.960539979
finetune_50,11,test,0.447660704,0.863760218
finetune_50,12,train,0.157975588,0.956386293
finetune_50,12,test,0.44768561,0.866485014
finetune_50,13,train,0.115267392,0.971443406
finetune_50,13,test,0.468512071,0.859673025
finetune_50,14,train,0.144346125,0.958982347
finetune_50,14,test,0.484413833,0.858310627
finetune_50,15,train,0.117592942,0.969366563
finetune_50,15,test,0.440422263,0.878746594
finetune_50,16,train,0.123535675,0.96728972
finetune_50,16,test,0.421290844,0.88147139
finetune_50,17,train,0.118890367,0.96780893
finetune_50,17,test,0.447138076,0.873297003
finetune_50,18,train,0.119215835,0.96780893
finetune_50,18,test,0.436352418,0.880108992
finetune_50,19,train,0.11231229,0.970404984
finetune_50,19,test,0.447970484,0.877384196
finetune_50,20,train,0.124945278,0.966770509
finetune_50,20,test,0.473996163,0.866485014
finetune_50,21,train,0.122937096,0.966251298
finetune_50,21,test,0.436287919,0.88147139
finetune_50,22,train,0.108790618,0.968328141
finetune_50,22,test,0.456297363,0.873297003
finetune_50,23,train,0.124619247,0.96780893
finetune_50,23,test,0.472353937,0.871934605
finetune_50,24,train,0.117451488,0.96780893
finetune_50,24,test,0.431002305,0.876021798
feature_extract_50,0,train,1.547810701,0.458463136
feature_extract_50,0,test,0.977500466,0.685286104
feature_extract_50,1,train,1.198603432,0.595015576
feature_extract_50,1,test,0.739776441,0.738419619
feature_extract_50,2,train,1.08556481,0.632398754
feature_extract_50,2,test,0.721159676,0.75613079
feature_extract_50,3,train,1.056016019,0.630841121
feature_extract_50,3,test,0.706256041,0.780653951
feature_extract_50,4,train,1.003535554,0.659916926
feature_extract_50,4,test,0.619268293,0.813351499
feature_extract_50,5,train,0.935456602,0.671339564
feature_extract_50,5,test,0.646018432,0.773841962
feature_extract_50,6,train,0.944145148,0.682762201
feature_extract_50,6,test,0.610191208,0.805177112
feature_extract_50,7,train,0.765057495,0.74662513
feature_extract_50,7,test,0.574815517,0.817438692
feature_extract_50,8,train,0.7668224,0.738836968
feature_extract_50,8,test,0.579780479,0.81880109
feature_extract_50,9,train,0.770050125,0.740913811
feature_extract_50,9,test,0.540993664,0.824250681
feature_extract_50,10,train,0.746729919,0.752855659
feature_extract_50,10,test,0.567455483,0.809264305
feature_extract_50,11,train,0.713486515,0.757528557
feature_extract_50,11,test,0.578318012,0.809264305
feature_extract_50,12,train,0.714448111,0.761163032
feature_extract_50,12,test,0.585102917,0.814713896
feature_extract_50,13,train,0.771548621,0.738836968
feature_extract_50,13,test,0.643891632,0.783378747
feature_extract_50,14,train,0.744070093,0.745586708
feature_extract_50,14,test,0.590413165,0.803814714
feature_extract_50,15,train,0.721321909,0.755451713
feature_extract_50,15,test,0.583507239,0.817438692
feature_extract_50,16,train,0.700778296,0.763759086
feature_extract_50,16,test,0.577872862,0.80653951
feature_extract_50,17,train,0.716719302,0.760124611
feature_extract_50,17,test,0.591488582,0.809264305
feature_extract_50,18,train,0.748934608,0.754413292
feature_extract_50,18,test,0.615315193,0.783378747
feature_extract_50,19,train,0.719764977,0.759086189
feature_extract_50,19,test,0.59346057,0.811989101
feature_extract_50,20,train,0.694118637,0.771028037
feature_extract_50,20,test,0.628530539,0.788828338
feature_extract_50,21,train,0.716657152,0.755451713
feature_extract_50,21,test,0.559758908,0.816076294
feature_extract_50,22,train,0.744892237,0.754413292
feature_extract_50,22,test,0.562944412,0.821525886
feature_extract_50,23,train,0.735267883,0.758047767
feature_extract_50,23,test,0.558830988,0.807901907
feature_extract_50,24,train,0.717366059,0.760124611
feature_extract_50,24,test,0.585057343,0.807901907
